CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,Doses (uM),Activity Data (median),Activity SD,Num Data,FitType,EC50 (uM),IC50 (uM),Amax,ActArea
LS411N_LARGE_INTESTINE,LS411N,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-1.2,-7.1,4.00,2.90,-11,-25,-43,-86","2.35,9.14,8.77,16.7,6.48,3.88,1.81,5.60",8,Sigmoid,8.200873171,2.996136665,-85.81661987,1.3972
LS513_LARGE_INTESTINE,LS513,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","32.9,.21,9.37,10.3,-11,-64,-72,-85","22.7,52.8,34.5,4.93,16.7,6.17,13.9,5.19",8,Sigmoid,0.235538274,0.539358318,-84.64678192,2.5798
LU99_LUNG,LU99,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-.19,-2.8,2.75,4.90,-11,-33,-53,-86","2.58,2.97,13.1,5.34,2.66,7.76,9.18,7.89",8,Sigmoid,2.385369301,1.975981355,-84.59156036,1.5767
LUDLU1_LUNG,LUDLU-1,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","8.31,32.8,-13,26.1,-33,-39,-65,-66","21.8,27.0,9.77,16.6,2.54,2.18,5.51,2.77",8,Linear,NA,1.434306904,-66.70701599,1.9451
M059J,M059J,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-16,8.13,-6.4,4.43,-4.6,-8.1,-21,-13","5.60,.51,2.32,5.12,3.37,2.60,7.79,4.31",8,Constant,NA,8,-7.389135361,0.5874
MALME3M_SKIN,Malme-3M,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","9.54,3.39,.22,7.86,-15,-28,-43,-84","6.76,1.50,14.8,4.78,6.09,.11,13.9,2.53",8,Sigmoid,8.715344684,2.855088949,-83.15684509,1.5363
MB157_BREAST,MB 157,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","11.7,3.69,-2.1,40.4,-25,-30,-36,-93","28.2,1.98,41.2,46.3,13.1,8.69,4.12,2.74",8,Linear,NA,0.309648394,-93.10461426,2.379
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MC116,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-8.9,5.37,-3.7,15.6,-25,20.1,8.82,8.90","8.49,1.86,9.62,21.1,.083,3.54,13.9,8.32",8,Constant,NA,8,3.042049885,0.2977
MCAS_OVARY,MCAS,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","6.45,1.59,-8.1,-4.0,-4.3,-11,-20,-72","3.74,5.63,12.3,2.91,5.17,4.50,3.92,13.3",8,Sigmoid,8.668376571,6.092284679,-62.7087822,0.913
MCF7_BREAST,MCF7,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","3.52,-11,-24,5.55,-16,-55,-121,-143","8.55,17.8,48.1,26.1,21.2,14.8,4.87,5.70",8,Sigmoid,1.059732199,0.716056585,-143.3669891,1.7882
MDAMB157_BREAST,MDA-MB-157,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-11,-.089,-7.7,7.81,-10,3.12,-17,-46","4.58,21.1,9.50,5.22,28.3,7.26,4.77,28.1",8,Sigmoid,2.88415885,8,-45.83102798,0.7972
MDAMB175VII_BREAST,MDA-MB-175-VII,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","10.1,10.8,-29,-9.9,-14,-7.5,-32,-23","27.9,1.40,6.99,.44,11.3,1.49,.39,7.64",8,Constant,NA,8,-9.92693615,0.8511
MDAMB415_BREAST,MDA-MB-415,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","14.1,-6.3,.44,-3.9,-.96,-17,-27,-56","24.2,19.7,8.06,30.5,24.3,8.85,23.8,36.8",8,Linear,NA,4.382416034,-55.12976456,0.5793
MDAMB435S_SKIN,MDA-MB-435S,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","10.4,10.6,-2.6,-6.3,-11,-20,-32,-59","8.44,7.24,2.04,1.78,1.75,5.14,11.6,3.60",8,Sigmoid,9.111120698,5.687198162,-56.94378281,1.3564
MDAMB436_BREAST,MDA-MB-436,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8",".97,-8.7,-5.7,-23,-.82,-24,-16,-51","18.0,2.74,5.13,10.2,10.7,6.86,7.89,13.4",8,Sigmoid,8.548909605,8,-49.64480972,1.1129
MDAMB453_BREAST,MDA-MB-453,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-8.0,8.53,.77,-6.4,-18,-20,-27,-73","9.83,11.2,11.4,8.46,1.23,1.14,1.80,3.42",8,Sigmoid,8.747546334,4.530221939,-70.59049225,1.1017
MDAMB468_BREAST,MDA-MB-468,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","5.03,-6.4,-3.3,11.8,-29,-30,-40,-84","10.4,4.35,1.42,31.4,14.1,22.1,8.00,.46",8,Sigmoid,9.055180801,2.823380709,-82.10835266,1.9311
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MEC-1,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-.73,18.6,28.4,48.6,17.5,-14,-13,-42","23.3,20.3,28.5,18.5,30.8,1.25,20.6,8.51",8,Linear,NA,8,-40.950737,1.2566
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MEG-01,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","7.57,2.76,-3.9,-5.2,-8.4,-8.6,-.90,-39","6.04,23.4,.20,9.16,17.9,7.99,6.85,5.18",8,Sigmoid,8.638485987,8,-39.19486618,0.5139
MELHO_SKIN,MEL-HO,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","20.5,-1.4,11.2,-9.7,9.55,-13,-8.1,-99","13.6,2.48,.48,5.23,8.90,3.62,9.46,.84",8,Sigmoid,8.03755454,5.168223858,-98.96060181,1.3099
MESSA_SOFT_TISSUE,MES-SA,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","6.62,-1.1,-12,-3.5,-2.3,-15,-14,-18","2.98,7.50,17.4,16.3,5.39,3.64,8.84,3.51",8,Constant,NA,8,-7.053386688,0.2815
MEWO_SKIN,MeWo,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","18.4,16.1,3.64,15.5,13.4,1.92,-16,-28","19.6,30.4,3.92,24.1,30.5,19.5,7.15,34.2",8,Constant,NA,8,0.252096772,0.3319
MFE280_ENDOMETRIUM,MFE-280,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","29.7,-9.0,5.37,-6.5,-2.7,-4.7,9.05,-30","23.0,4.12,24.6,3.61,14.5,21.0,31.1,17.8",8,Constant,NA,8,-9.991352081,0.5249
MFE296_ENDOMETRIUM,MFE-296,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","6.62,-.87,6.60,-13,-14,-20,-31,-53","4.86,6.57,3.64,11.4,4.18,10.4,9.52,6.34",8,Sigmoid,8.926175778,7.501813412,-51.0965004,0.9253
MFE319_ENDOMETRIUM,MFE-319,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","2.39,3.14,36.6,1.04,-4.9,-17,-29,-51",".89,28.0,18.0,1.00,8.49,9.35,6.33,10.1",8,Sigmoid,6.926526546,7.701841831,-50.68323898,0.7763
MG63_BONE,MG-63,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-5.9,4.00,.43,2.84,-6.4,-25,-36,-75","3.92,8.96,5.21,.56,1.90,.63,6.61,1.06",8,Sigmoid,8.136759459,3.710702658,-74.67765045,1.392
MHHES1_BONE,MHH-ES-1,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","11.1,1.22,7.79,3.18,-9.8,-26,-62,-92","6.09,12.4,6.69,1.30,4.07,6.65,9.03,1.18",8,Sigmoid,2.430807352,1.775179029,-92.47189331,2.06
MIAPACA2_PANCREAS,MIA PaCa-2,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","2.17,-8.9,5.36,1.76,-3.0,-36,-42,-78","7.51,8.94,5.04,1.62,7.53,12.3,5.56,6.57",8,Sigmoid,6.491219521,2.861631393,-76.60547638,1.4882
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Mino,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-4.4,.60,8.31,-1.6,14.0,.28,-16,-59","17.8,4.65,27.1,4.68,2.70,7.95,9.41,6.15",8,Sigmoid,3.541588545,5.570897102,-58.56716156,0.5617
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MJ,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","5.58,-.63,16.0,18.1,-7.5,-32,-38,-8.3","3.04,25.6,36.5,15.7,2.26,8.13,10.2,10.7",8,Sigmoid,0.26321578,8,-27.55993462,0.7745
MKN45_STOMACH,MKN-45,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-5.8,.067,9.13,-.65,-16,-9.0,-17,-37","2.08,9.98,10.7,7.87,28.6,41.4,47.5,13.9",8,Constant,NA,8,-5.139145374,0.5995
MKN7_STOMACH,MKN7,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","18.3,13.3,21.6,11.9,14.9,-.63,8.18,-35","8.48,18.1,10.4,38.2,17.0,14.4,3.66,23.3",8,Linear,NA,8,-33.74284363,0.3176
MKN74_STOMACH,MKN74,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-3.8,4.49,11.7,11.4,-18,-9.6,-42,-66","16.3,20.5,8.79,22.5,14.9,18.6,.56,9.14",8,Sigmoid,3.385849476,3.769882917,-66.60816956,1.2515
MOGGCCM_CENTRAL_NERVOUS_SYSTEM,MOG-G-CCM,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","5.35,2.15,-14,-8.1,-.21,-12,-8.8,-16","4.46,6.21,16.6,.33,2.81,12.8,3.95,6.40",8,Constant,NA,8,-4.729028225,0.2712
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLP-8,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","6.73,-4.7,4.33,10.5,-35,-52,-56,-67","12.8,15.6,35.6,19.1,2.17,4.58,2.34,1.86",8,Sigmoid,0.229085594,0.331311166,-58.48679352,2.4006
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLT-16,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","4.65,16.0,17.4,-.037,-2.2,-4.4,-11,-73","1.54,14.1,15.6,6.71,21.2,11.1,9.01,6.55",8,Sigmoid,8.610932761,5.809138775,-72.55625153,1.5338
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MONO-MAC-1,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","38.1,33.7,13.1,-5.7,-11,-30,-69,-94","11.4,4.28,2.69,3.40,4.01,1.69,4.94,1.77",8,Sigmoid,8.48180812,1.44956553,-94.29171753,2.5881
MORCPR_LUNG,MOR/CPR,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-9.5,9.06,-2.0,17.5,2.48,-8.8,-16,-32","6.58,2.75,11.3,20.4,1.44,4.71,14.4,.82",8,Sigmoid,2.852065325,8,-31.44722939,0.4603
MPP89_PLEURA,MPP 89,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","5.94,.32,-.48,-14,-16,-28,-13,-37","2.46,19.4,.30,4.11,8.74,.53,5.68,3.46",8,Sigmoid,0.002542614,8,-31.70269775,1.0837
MSTO211H_PLEURA,MSTO-211H,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","1.32,11.7,-14,7.43,1.20,2.52,-21,-22","3.99,9.68,16.0,1.70,7.13,3.48,3.18,2.22",8,Constant,NA,8,-0.5688954,0.5041
NCIH1048_LUNG,NCI-H1048,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","9.79,16.3,4.29,.95,10.3,-11,-5.5,-33","5.23,14.1,3.27,4.16,.91,.51,13.0,5.34",8,Sigmoid,8.624739739,8,-30.66960335,0.798
NCIH1092_LUNG,NCI-H1092,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-23,-22,14.7,1.11,9.64,-9.7,-2.8,-47",".67,6.10,14.1,46.8,13.5,14.9,8.40,6.53",8,Linear,NA,8,-46.18229675,0.5824
NCIH1155_LUNG,NCI-H1155,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","2.62,14.3,21.4,15.5,-5.0,5.82,-27,-52","27.1,32.2,14.8,17.5,1.73,12.6,1.40,4.47",8,Sigmoid,5.338488102,7.266235352,-52.33863831,0.7336
NCIH1184_LUNG,NCI-H1184,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","39.8,-24,-14,16.4,51.9,60.1,56.1,-28","19.3,12.5,33.0,21.7,15.1,41.1,72.4,23.6",8,Linear,NA,8,-26.7315979,0.6452
NCIH1299_LUNG,NCI-H1299,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","18.9,20.2,4.27,-5.7,-4.3,-20,-40,-57",".46,1.84,.38,4.33,10.1,2.12,3.78,4.76",8,Sigmoid,8.595679249,5.331521988,-57.32917404,1.2383
NCIH1339_LUNG,NCI-H1339,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","3.33,2.77,5.01,-1.1,1.20,-7.4,-13,-32","25.1,.63,4.21,1.20,13.6,8.23,12.6,6.51",8,Sigmoid,8.826031258,8,-31.86849213,0.645
NCIH1341_LUNG,NCI-H1341,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-2.4,41.8,24.8,2.43,-18,-6.9,-51,-80","11.1,8.59,19.6,15.8,9.28,47.9,9.62,16.1",8,Linear,NA,0.334254905,-81.25395203,1.8219
NCIH1355_LUNG,NCI-H1355,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","10.7,4.32,13.9,12.8,-2.8,-29,-25,-52",".20,5.75,3.13,6.02,2.67,2.23,6.94,3.77",8,Sigmoid,0.574009538,4.051389694,-51.67834473,0.9139
NCIH1373_LUNG,NCI-H1373,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","5.98,-4.7,8.40,-3.9,-11,-10,-17,-34","8.21,2.95,6.54,10.7,6.81,12.5,10.5,25.6",8,Sigmoid,9.100987228,8,-32.7531929,0.5229
NCIH1563_LUNG,NCI-H1563,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-11,6.18,1.46,-2.8,-16,-23,-34,-28","10.7,4.10,13.1,9.14,.43,3.33,5.05,9.10",8,Sigmoid,0.258538127,8,-30.60897446,1.0647
NCIH1568_LUNG,NCI-H1568,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-5.3,11.8,-14,2.11,-16,-19,-38,-39","3.38,21.0,16.6,15.5,28.2,17.1,2.64,6.88",8,Sigmoid,0.796613753,8,-38.63415146,1.3221
NCIH1573_LUNG,NCI-H1573,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-9.8,13.8,4.76,8.00,-11,-18,-36,-43","1.42,22.3,12.7,23.6,17.4,.92,3.16,18.6",8,Sigmoid,0.98117429,8,-43.19650269,1.463
NCIH1581_LUNG,NCI-H1581,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","71.2,17.0,-1.9,11.4,3.61,-3.4,15.7,-10","11.1,39.8,13.6,.33,29.8,34.7,39.3,4.63",8,Linear,NA,8,-9.541942596,0.3412
NCIH1648_LUNG,NCI-H1648,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","7.97,-5.1,-4.8,17.3,-2.4,-35,-13,-56","1.04,11.3,8.24,40.8,10.0,.67,26.0,16.4",8,Sigmoid,0.599306762,8,-46.18794632,1.078
NCIH1650_LUNG,NCI-H1650,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","9.38,15.0,-.15,3.92,-1.7,-5.7,-14,-37","21.5,1.17,19.2,15.3,2.28,6.07,2.40,5.00",8,Sigmoid,8.665505701,8,-35.78836441,0.4436
NCIH1651_LUNG,NCI-H1651,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-.96,7.53,-1.8,5.79,-15,-20,-19,-42","3.71,16.9,16.3,10.9,6.77,.82,2.40,5.47",8,Sigmoid,8.714476117,8,-40.37334061,0.8597
NCIH1666_LUNG,NCI-H1666,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","14.4,23.3,28.5,54.0,-6.2,-16,-39,-92","1.50,46.9,19.5,71.1,8.21,12.7,1.66,9.82",8,Sigmoid,8.588242469,3.147583485,-91.49716187,1.0145
NCIH1693_LUNG,NCI-H1693,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","22.5,-8.5,33.0,11.1,-10,-33,-29,-55","4.86,4.90,18.6,17.1,3.48,6.65,3.96,16.4",8,Sigmoid,0.226028889,8,-37.40585327,1.1923
NCIH1694_LUNG,NCI-H1694,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","2.57,-1.7,-4.9,1.75,-15,-17,-16,-44","24.6,25.0,27.9,6.73,2.55,30.3,11.9,9.97",8,Constant,NA,8,-13.58466244,0.8491
NCIH1703_LUNG,NCI-H1703,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","28.6,17.2,30.1,12.9,.19,-13,-25,-22","29.8,3.62,31.5,1.98,8.66,3.40,14.7,8.62",8,Sigmoid,0.410868794,8,-23.1138134,0.7496
NCIH1792_LUNG,NCI-H1792,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-1.2,3.96,-1.4,4.67,-9.3,-15,-37,-61","4.10,1.00,2.48,5.16,1.21,7.41,2.06,6.10",8,Sigmoid,4.584856987,4.73042202,-61.31596756,1.1488
NCIH1793_LUNG,NCI-H1793,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","1.16,17.3,-.26,-16,-3.1,-17,-13,-58","8.80,13.0,14.4,7.47,6.30,20.9,4.59,9.51",8,Sigmoid,8.836005767,6.899638653,-56.17079163,0.4367
NCIH1869_LUNG,NCI-H1869,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","18.3,-7.9,4.80,5.14,8.72,-11,-34,-19","22.8,18.8,15.0,17.9,19.4,.54,2.49,.24",8,Sigmoid,0.791251659,8,-26.5145607,0.747
NCIH1915_LUNG,NCI-H1915,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","1.71,9.61,10.9,-5.7,-12,-14,10.4,-21","1.36,.64,3.65,2.68,3.64,4.93,17.5,.41",8,Sigmoid,0.073968865,8,-14.37284851,0.4139
NCIH1944_LUNG,NCI-H1944,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-16,-15,-2.4,2.70,-10,-9.3,-19,-45","25.2,4.31,20.9,21.5,10.6,5.61,23.6,8.37",8,Sigmoid,3.08249855,8,-44.80958939,0.2859
NCIH1975_LUNG,NCI-H1975,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","3.95,3.90,-1.5,2.89,-13,-17,-39,-36","5.64,14.4,0,0,10.4,.88,3.45,6.80",8,Sigmoid,0.682324648,8,-39.25634766,1.0222
NCIH2009_LUNG,NCI-H2009,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","4.94,.57,3.91,4.16,-4.8,-9.3,-22,-43","9.74,13.6,20.1,9.84,37.4,.95,13.0,9.94",8,Sigmoid,3.303884745,8,-43.09848404,0.6894
NCIH2023_LUNG,NCI-H2023,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-1.2,27.1,18.0,-6.9,-20,-36,-39,-70","2.57,1.91,15.3,.57,9.48,13.5,2.74,4.50",8,Sigmoid,0.883609116,2.513386011,-64.40049744,1.4571
NCIH2030_LUNG,NCI-H2030,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-3.9,-1.3,-6.5,6.99,-3.7,-5.4,-24,-59","2.86,2.19,4.93,5.01,7.11,5.42,8.69,15.3",8,Sigmoid,4.004538536,5.780652523,-58.6107254,0.9753
NCIH2052_PLEURA,NCI-H2052,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","19.9,4.57,2.19,-8.1,-9.2,-33,-32,-49","4.20,5.36,3.16,3.99,8.19,9.61,9.69,2.94",8,Sigmoid,8.287284391,8,-47.97580719,1.5696
NCIH2085_LUNG,NCI-H2085,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-8.7,13.0,-15,16.6,13.8,-1.5,-6.3,-34","10.3,7.97,9.98,20.4,15.7,2.04,12.3,2.64",8,Linear,NA,8,-33.8833847,0.4646
NCIH2087_LUNG,NCI-H2087,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8",".82,6.34,3.44,2.42,-13,-11,-10,-53","2.60,9.17,8.34,6.48,2.46,6.25,2.29,10.8",8,Sigmoid,8.796221481,7.722693443,-51.68109894,0.7475
NCIH211_LUNG,NCI-H211,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-3.6,.57,9.83,7.28,1.77,-31,-28,-85","5.13,12.8,6.42,3.52,18.2,13.3,12.1,10.6",8,Sigmoid,1.732289076,1.58294487,-90.64550018,1.4213
NCIH2122_LUNG,NCI-H2122,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-19,12.1,7.21,6.93,-22,-14,-74,-80","2.02,4.01,26.2,6.42,1.82,9.30,12.2,7.27",8,Linear,NA,0.136573295,-82.13034821,1.71
NCIH2170_LUNG,NCI-H2170,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","12.5,-5.0,25.5,2.64,.14,-19,-15,-46","34.3,5.76,22.4,4.11,22.4,3.85,20.8,5.39",8,Linear,NA,8,-45.14984131,0.9193
NCIH2172_LUNG,NCI-H2172,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-11,-36,-13,-53,-4.4,-26,-31,-65","3.43,2.40,55.6,32.1,12.7,31.4,24.1,.13",8,Constant,NA,8,-33.24750519,0.4366
NCIH2228_LUNG,NCI-H2228,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-1.7,5.76,1.13,11.1,-7.3,-17,-21,-49","1.79,14.3,2.68,15.2,8.32,12.3,17.1,19.8",8,Sigmoid,2.305627823,8,-41.68403244,0.7983
NCIH226_LUNG,NCI-H226,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-11,20.6,-15,19.5,-26,-9.7,-39,-13","9.27,11.5,3.41,5.78,3.18,4.09,3.47,14.6",8,Constant,NA,8,-12.53730202,0.6322
NCIH2286_LUNG,NCI-H2286,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-.55,7.16,1.35,4.88,-13,-7.0,-17,-40","2.47,5.48,5.47,1.43,9.80,16.8,7.26,1.89",8,Sigmoid,8.528434964,8,-38.65135193,0.8707
NCIH23_LUNG,NCI-H23,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-13,-.52,-14,7.68,-13,-25,-40,-60","11.5,9.04,19.8,14.3,2.21,6.31,.92,11.2",8,Sigmoid,2.453845739,4.463423729,-58.20860672,1.3268
NCIH2444_LUNG,NCI-H2444,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-11,1.06,-20,10.8,-9.1,-5.3,-13,-24","21.1,.15,1.58,.17,10.6,11.6,16.2,8.63",8,Constant,NA,8,-7.564731598,0.5609
NCIH2452_PLEURA,NCI-H2452,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-4.4,-4.4,-11,10.8,-20,-18,-11,-37","9.46,10.2,20.3,9.47,.68,3.31,21.6,9.05",8,Constant,NA,8,-13.69533443,0.7924
NCIH28_PLEURA,NCI-H28,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","2.81,3.57,-12,-4.4,-8.8,-23,-32,-55","14.0,5.04,14.6,4.34,9.49,1.93,11.6,6.42",8,Sigmoid,8.309818625,6.431872368,-54.20069504,1.0399
NCIH322_LUNG,NCI-H322,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-3.5,-3.5,-7.6,-.23,-7.9,-12,-43,-82","13.0,22.8,5.49,15.1,5.80,3.14,5.19,2.49",8,Sigmoid,2.769809246,2.894480705,-81.63601685,1.1076
NCIH3255_LUNG,NCI-H3255,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-11,2.07,15.3,-4.6,-8.6,-7.4,-44,-93","4.59,2.20,14.4,5.77,4.66,13.8,8.99,1.04",8,Sigmoid,3.079784632,2.828068733,-93.27764893,1.4275
NCIH358_LUNG,NCI-H358,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","9.80,5.37,-.47,1.73,-1.9,-9.9,-31,-53","4.97,5.90,7.04,3.26,10.0,1.89,4.16,1.67",8,Sigmoid,8.020733493,6.799887657,-53.71779633,1.0482
NCIH441_LUNG,NCI-H441,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","1.64,1.24,.69,.66,-8.0,-26,-37,-54","1.51,5.29,2.74,1.39,13.7,2.41,8.37,1.85",8,Sigmoid,0.956509531,4.720984459,-53.72599411,1.1125
NCIH460_LUNG,NCI-H460,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-1.5,12.3,-11,-1.6,-5.7,-13,-16,-64","4.26,20.8,5.47,5.53,15.6,1.89,1.32,22.6",8,Sigmoid,8.602921237,6.268196106,-63.54943848,1.0809
NCIH520_LUNG,NCI-H520,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","15.3,-13,-.26,2.93,-9.6,-17,-1.9,-40","2.48,11.0,4.40,2.82,16.0,1.73,13.2,5.36",8,Sigmoid,4.590585709,8,-35.85561752,0.535
NCIH522_LUNG,NCI-H522,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","23.6,19.1,4.67,2.26,-12,-8.2,-28,-10","6.40,18.5,15.8,2.72,.38,10.3,1.35,8.08",8,Sigmoid,0.067597941,8,-18.14593124,0.6383
NCIH647_LUNG,NCI-H647,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","34.3,15.3,9.39,7.35,8.99,-24,16.1,-6.5","31.6,4.11,3.57,13.7,8.16,6.82,5.92,4.31",8,Constant,NA,8,11.977355,0.3716
NCIH650_LUNG,NCI-H650,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","7.42,1.90,6.39,-5.3,-5.1,-19,-22,-53","9.49,1.99,15.8,6.95,30.5,12.8,8.55,11.8",8,Sigmoid,8.621075096,7.875080109,-50.37211227,0.7852
NCIH661_LUNG,NCI-H661,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8",".12,-4.8,11.6,10.8,-.032,-12,-43,-53","3.10,6.28,2.79,8.50,8.65,15.8,58.4,69.4",8,Sigmoid,1.21559453,1.165132165,-99.62536621,1.0875
